010470,오리콤,16056,-5000,13.59,368,5.7,0.79,2.11,6326,1674,64,41,575
011040,경동제약,13767,12150,13.93,872,9.5,1.46,7.18,8339,1778,309,202,3226
011080,형지I&C,55960,+1045,0.00,0,-65.6,1.53,,681,1135,-88,-259,407
011320,유니크,112858,-4820,26.20,184,3.8,1.05,9.32,4600,2352,42,33,931
011370,서한,392566,+2070,2.70,768,31.1,0.73,1.54,2839,5287,1031,775,2089
011560,세보엠이씨,41976,11800,5.00,2362,18.5,0.90,3.31,13143,6025,291,216,1243
012340,뉴인텍,116885,-998,0.00,0,-21.1,3.33,73.64,300,503,-16,-36,490
012620,원일특강,7818,-10150,6.21,1635,7.2,0.43,9.99,23457,2340,92,72,447
012700,리드코프,12643,-6080,4.48,1358,12.0,0.51,18.12,11862,4425,473,362,1626
012790,신일제약,34004,+11650,11.52,1011,8.4,0.98,6.20,11851,509,93,76,920
012860,서연전자,56051,-1900,0.00,0,-27.1,0.41,12.31,4688,7102,-143,-436,513
013030,하이록코리아,14547,-24200,14.00,1728,7.4,1.00,4.76,24092,1827,355,236,3294
013120,동원개발,87613,-4080,3.68,1108,18.3,0.62,0.72,6550,5630,1430,1006,3705
013310,아진산업,192363,-2625,4.89,537,7.8,0.37,5.91,7050,4279,224,107,780
013720,청보산업,426866,+4200,0.00,0,-2.8,1.68,18.18,2495,222,-2,-6,344
013810,스페코,169333,+5560,0.00,0,-1.1,2.04,26.66,2725,688,14,-3,815
013990,아가방컴퍼니,236819,+4985,0.00,0,-2.7,0.98,3188.40,5079,1409,-39,-49,1639
014100,보령메디앙스,168290,+11850,22.83,519,13.5,2.96,18.10,4004,1207,59,60,1398
014190,원익큐브,1445515,+3225,56.58,57,2.3,1.46,31.33,2202,2402,34,16,1142
014200,광림,119565,+3210,0.00,0,-15.5,1.66,,1930,1352,-124,-236,1557
014470,부방,82797,2785,55.70,50,1.3,0.82,23.82,3379,3833,-38,-18,1317
014570,고려제약,406342,-7990,18.62,429,8.5,1.54,13.71,5179,554,53,47,879
014620,성광벤드,82573,+11650,0.00,0,-3.6,0.74,,15747,1457,-186,-163,3332
014940,오리엔탈정공,55294,-838,0.00,0,-9.4,2.93,32.09,286,1010,20,-11,351
014970,삼륭물산,100709,+5850,21.51,272,5.9,1.26,9.68,4636,905,61,40,885
015710,코콤,93033,+7520,11.64,646,10.9,1.29,8.52,5835,1431,127,107,1318
015750,성우하이텍,166287,-4455,8.74,510,3.3,0.29,5.20,15234,33664,608,293,3564
016100,리더스코스메틱,106805,+15850,0.00,0,-6.9,3.51,52.17,4516,1399,-3,-79,2865
016170,카카오M,21274,-98400,36.31,2710,21.7,7.33,17.17,13421,5803,1027,677,24887
016250,이테크건설,6218,-123400,11.56,10678,11.7,1.33,5.27,92905,14658,1453,652,3455
016600,큐캐피탈,157428,-885,10.06,88,11.0,1.04,,849,218,149,96,1239
016670,포비스티앤씨,355365,+1210,28.81,42,3.0,0.85,11.49,1426,1131,14,17,485
016790,현대사료,59220,+26200,21.41,1224,12.0,2.46,36.04,10645,871,41,56,1611
016920,카스,50902,-1640,14.39,114,5.4,0.95,8.35,1729,1394,67,19,352
017000,신원종합개발,85660,-4715,3.43,1376,24.5,0.74,3.53,6330,1958,132,137,475
017250,인터엠,90267,+2365,22.96,103,2.6,0.61,7.10,3897,989,31,20,498
017480,삼현철강,102946,+5820,14.30,407,4.5,0.65,3.81,8934,1692,91,63,914
017510,세명전기,290622,-9320,38.67,241,5.7,2.16,28.57,4318,209,40,37,1421
017650,대림제지,410951,1960,26.85,73,2.9,0.68,14.30,2894,1180,50,33,882
017680,데코앤이,2350885,+730,0.00,0,-67.3,2.32,,314,468,-98,-213,725
017890,한국알콜,79720,+8160,8.34,978,8.2,0.70,6.58,11716,2124,172,201,1763
018290,지엠피,2407868,+9060,0.00,0,-48.9,7.57,,1197,699,-67,-130,2346
018310,삼목에스폼,91477,+15100,6.32,2389,11.5,0.69,1.87,21921,3051,443,351,2220
018620,우진비앤지,602575,+4645,0.00,0,-18.6,2.79,,1667,264,-34,-42,753
018680,서울제약,135150,+10850,97.75,111,1.8,1.69,16.47,6423,467,41,9,921
018700,바른손,86796,-2585,0.00,0,-13.3,0.93,,2787,97,-29,-57,424
019010,그랜드백화점,2107,-14100,0.00,0,-0.9,0.33,24.05,43057,675,12,-38,680
019210,와이지-원,179432,+11400,9.66,1180,12.0,1.13,7.19,10074,3866,593,356,3478
019540,일지테크,49666,-3215,5.20,618,6.5,0.34,3.89,9449,2611,9,82,434
019550,SBI인베스트먼트,888054,-1045,61.47,17,3.2,1.99,,526,182,25,25,1694
019570,제미니투자,120585,-642,42.80,15,-7.0,1.64,,392,37,-7,-11,257
019590,엠벤처투자,0,587,27.95,21,7.6,1.85,,318,93,27,24,695
019660,글로본,32930,+4875,0.00,0,-31.8,5.70,,855,71,-69,-86,1365
019770,서연탑메탈,13803,-2990,7.55,396,6.0,0.45,8.74,6645,2100,57,43,348
019990,에너토크,54176,-4905,119.63,41,1.0,1.17,22.86,4194,245,3,4,479
020180,대신정보통신,286137,-1030,23.95,43,3.6,1.67,,616,1701,-15,9,396
020400,대동금속,637,-49400,28.33,1744,3.1,0.86,9.86,57522,747,16,8,237
020710,시공테크,27212,+7370,7.76,950,21.5,1.55,6.01,4762,1731,149,187,1478
021040,대호피앤씨,2316281,+1155,18.63,62,7.3,1.29,9.01,893,2053,102,40,844
021045,대호피앤씨우,165183,+1620,0.00,0,,0.00,,0,,,,69
021080,에이티넘인베스트,536349,+3085,16.95,182,12.9,2.09,,1478,251,123,87,1481
021320,KCC건설,234363,-10550,10.04,1051,6.9,0.67,2.49,15806,13264,719,225,2258
021650,한국큐빅,7839,-2695,42.78,63,1.4,0.79,6.19,3400,1538,40,6,441
021880,메이슨캐피탈,219930,-480,0.00,0,-2.3,1.13,,426,87,-13,-12,467
022100,포스코 ICT,255160,-6630,24.02,276,10.8,2.52,11.36,2629,9506,561,420,10080
022220,정산애강,43012,+2695,14.65,184,16.0,2.18,10.44,1234,782,115,95,1396
023160,태광,42336,13450,0.00,0,-3.8,0.85,28.47,15818,1842,45,-162,3564
023410,유진기업,878018,+7210,5.90,1223,12.4,0.77,8.29,9411,12990,1076,847,5561
023440,제일제강,3247562,-1510,23.97,63,2.8,0.66,14.85,2278,310,11,16,393
023460,CNH,381356,-1345,16.60,81,2.9,0.49,,2752,121,13,29,500
023600,삼보판지,103178,10350,21.21,488,2.7,0.55,12.24,18709,3239,77,92,1521
023760,한국캐피탈,99725,+650,17.11,38,3.1,0.54,,1195,254,96,62,1093
023770,플레이위드,8545,-7580,0.00,0,-28.9,2.69,11.67,2816,119,11,-28,262
023790,동일철강,1665,+4380,0.00,0,-9.0,0.78,45.81,5628,553,3,-39,322
023890,아트라스BX,9140,+49000,4.38,11180,17.6,1.70,4.90,28757,6299,609,425,4484
023900,풍국주정,65641,+10150,9.03,1124,12.6,1.08,5.76,9439,1076,113,146,1279
023910,대한약품,10968,+46100,11.14,4139,23.8,2.39,7.05,19313,1444,323,248,2766
024060,흥구석유,3687,-2745,19.33,142,3.0,0.59,35.30,4650,1555,8,21,412
024120,KB오토시스,53793,-5770,5.40,1068,15.2,0.78,3.60,7398,1643,184,123,664
024740,한일단조,166136,1510,0.00,0,-3.1,0.37,19.11,4110,1333,6,-21,451
024800,유성티엔에스,41838,-3610,6.60,547,7.5,0.51,7.66,7106,4336,131,120,982
024810,이화전기,4003002,335,19.71,17,6.6,1.18,113.79,283,474,5,56,2017
024830,세원물산,19204,+6840,8.81,776,3.5,0.31,2.32,22298,719,49,65,571
024840,갑을메탈,110697,-2400,11.76,204,9.9,0.98,7.49,2459,4711,174,61,750
024850,피에스엠씨,3106756,+1505,0.00,0,3.1,2.99,18.44,503,500,11,6,583
024880,케이피에프,8736,+4690,5.14,912,9.5,0.50,7.16,9304,3654,152,128,738
024910,경창산업,501338,-2370,0.00,0,-17.1,0.27,7.93,8754,5503,-27,-243,416
024940,PN풍년,26698,+2780,18.17,153,4.6,0.86,7.84,3215,671,16,14,278
024950,삼천리자전거,11496,-6880,22.48,306,3.6,0.89,81.99,7731,1111,3,33,913
025320,시노펙스,563203,+3060,0.00,0,-34.4,3.66,7.63,835,1812,249,-226,2131
025440,대성엘텍,3787974,+1210,0.00,0,-8.5,2.57,14.85,471,3506,21,-41,1206
025550,한국선재,107027,2995,18.15,165,4.7,0.88,15.32,3403,1667,68,39,734
025770,한국정보통신,46757,+10100,15.66,645,15.9,2.34,5.34,4313,3766,378,249,3920
025870,신라에스지,18227,-5750,97.46,59,1.5,1.44,19.12,3985,820,11,2,230
025880,케이씨피드,112995,-2440,5.70,428,12.2,0.70,10.31,3492,797,29,68,408
025900,동화기업,8550,29150,9.82,2967,7.3,0.87,4.98,33599,7788,911,622,4185
025950,동신건설,11834,-7420,5.83,1273,13.0,0.72,2.04,10373,526,95,107,623
025980,아난티,885919,-8320,260.00,32,0.8,2.07,29.98,4017,1505,125,26,6849
