19950,96234,1962821600,20181022,21300,21850,19400,,,,,,,
21500,66759,1445922700,20181015,22000,22400,19800,,,,,,,
22200,149944,3281887400,20181008,23950,24000,20750,,,,,,,
23800,74621,1800849350,20181001,25000,25100,23100,,,,,,,
24550,34681,858562850,20180927,25300,26500,24200,,,,,,,
25100,177399,4392989800,20180917,26150,26150,23600,,,,,,,
25850,217249,5657447550,20180910,24950,27050,24750,,,,,,,
24750,138117,3418915950,20180903,24800,25500,23350,,,,,,,
24850,353901,8554296950,20180827,23500,25200,23250,,,,,,,
24650,178534,4413864450,20180820,25350,25650,23950,,,,,,,
24700,328978,7835172650,20180813,22700,25750,21600,,,,,,,
22800,104037,2304408800,20180806,21800,23050,21100,,,,,,,
21800,115540,2557432100,20180730,21700,22850,21400,,,,,,,
21900,254732,5382327400,20180723,21300,22200,20250,,,,,,,
21350,172077,3772361900,20180716,23050,23300,21100,,,,,,,
23000,285201,6346354350,20180709,22450,23500,21100,,,,,,,
23050,165945,3694588700,20180702,23550,23550,21550,,,,,,,
23500,456458,10729059950,20180625,24950,25250,22300,,,,,,,
25200,506197,12683331700,20180618,25500,26400,24100,,,,,,,
26350,529646,14819787300,20180611,29550,30550,25650,,,,,,,
29550,708377,20786651500,20180604,30800,31300,27300,,,,,,,
30350,2340724,70797805850,20180528,26400,33250,25800,,,,,,,
23650,727629,18189827500,20180521,24700,26800,22150,,,,,,,
25250,1525415,38401281950,20180514,21800,27200,21650,,,,,,,
21300,233483,4881928650,20180508,21550,22000,19850,,,,,,,
21700,568560,11629366250,20180430,18900,22000,18900,,,,,,,
18650,499372,9439819200,20180423,18300,20650,18050,,,,,,,
17800,509839,9033980850,20180416,17200,19500,17000,,,,,,,
17300,57315,991254450,20180409,17550,17700,17100,,,,,,,
17550,37080,652836650,20180402,18200,18600,17000,,,,,,,
18450,39514,725500700,20180326,17000,19900,17000,,,,,,,
17300,48479,877723550,20180319,18600,18800,17300,,,,,,,
18700,63772,1219546050,20180312,19650,19700,18250,,,,,,,
19650,89709,1693607900,20180305,18200,19850,18050,,,,,,,
18500,47810,909467850,20180226,19250,19650,18100,,,,,,,
19250,280539,5861407200,20180219,20150,23950,19100,,,,,,,
19550,70253,1372497200,20180212,18450,20150,18400,,,,,,,
18400,43430,807448400,20180205,18600,19900,18050,,,,,,,
19050,53851,1040070800,20180129,19100,19750,18850,,,,,,,
18950,49458,942115850,20180122,19250,19500,18750,,,,,,,
19250,50026,939459800,20180115,18800,19350,18200,,,,,,,
18800,66090,1241575100,20180108,18550,19150,18400,,,,,,,
18350,53144,945785550,20180102,17250,18350,17100,,,,,,,
17300,22525,370077600,20171226,15800,17300,15800,?,0.00,,,,,
15800,33762,532037850,20171218,16000,16500,15300,,,,,,,
16000,13251,215847900,20171211,16300,16800,16000,,,,,,,
16300,16945,288454100,20171204,17200,17650,16300,,,,,,,
17000,46109,781162100,20171127,17500,17500,16550,,,,,,,
17500,31672,559742250,20171120,17950,17950,17400,,,,,,,
17800,71206,1268519750,20171113,17750,18050,17500,,,,,,,
17750,36322,641347800,20171106,17750,18100,17300,,,,,,,
17750,29704,532381750,20171030,17600,18300,17450,,,,,,,
17600,37462,668047600,20171023,17800,18100,17600,,,,,,,
18050,21359,377012400,20171016,17350,18050,17300,,,,,,,
17550,16872,297214100,20171010,17350,18000,17250,,,,,,,
17400,25792,444094150,20170925,17400,17800,16800,,,,,,,
17400,41804,739589250,20170918,18400,18400,17100,,,,,,,
17700,18797,333536950,20170911,17700,18050,17500,,,,,,,
17900,23994,430055050,20170904,18450,18900,17650,,,,,,,
18450,37125,678796000,20170828,18400,18800,18000,,,,,,,
18400,52160,959011950,20170821,19800,19800,17950,,,,,,,
18500,47748,861893500,20170814,17350,18850,17300,,,,,,,
17350,39806,694785600,20170807,17650,17950,17000,,,,,,,
17650,25095,446525400,20170731,17900,18300,17450,,,,,,,
17900,25540,465788400,20170724,18400,18900,17900,,,,,,,
18400,20161,367562800,20170717,18150,18700,17850,,,,,,,
18050,16400,298066800,20170710,18800,18800,17900,,,,,,,
18450,67425,1260434450,20170703,18850,19050,18450,,,,,,,
18450,91602,1650742900,20170626,18350,18700,17850,,,,,,,
18350,54918,1008934200,20170619,18850,18850,18150,,,,,,,
18550,45654,856831500,20170612,19000,19500,18450,,,,,,,
19000,38051,728109200,20170605,19250,19950,18450,,,,,,,
18900,98964,1857667700,20170529,18000,19900,17950,,,,,,,
17850,99447,1756087700,20170522,17500,18400,17350,,,,,,,
17350,35642,621559250,20170515,17500,17850,17250,,,,,,,
17350,21639,379958850,20170508,17600,17850,17150,,,,,,,
17500,6654,115495750,20170502,17300,17550,17200,,,,,,,
17600,31501,549443750,20170424,17600,17750,17200,,,,,,,
17650,42129,741516450,20170417,17950,17950,17400,,,,,,,
17950,47097,828209000,20170410,17600,18000,17200,,,,,,,
17550,64841,1118407100,20170403,17400,18350,16900,,,,,,,
17400,51690,885963100,20170327,17350,17800,16050,,,,,,,
17400,36849,635029500,20170320,17550,17800,16900,,,,,,,
17600,85486,1497479150,20170313,17000,18400,16800,,,,,,,
17300,54644,934367600,20170306,16650,17350,16550,,,,,,,
16850,41331,690748450,20170227,16700,17000,16350,,,,,,,
17000,82269,1389969050,20170220,16200,17200,16200,,,,,,,
16500,237247,3800020650,20170213,15000,17300,14650,,,,,,,
14850,118004,1709721200,20170206,13650,15700,13400,,,,,,,
13400,31125,418487700,20170131,13250,14200,13000,,,,,,,
13200,42081,553447950,20170123,13450,13550,13000,,,,,,,
13350,125182,1621486350,20170116,13700,13800,13150,,,,,,,
13700,23233,317019000,20170109,14000,14000,13450,,,,,,,
13900,18653,259387850,20170102,14100,14200,13750,,,,,,,
14100,32501,447967350,20161226,13850,14250,13400,,,,,,,
13850,312840,4331273450,20161219,14150,14150,13500,,,,,,,
14100,58506,821746050,20161212,14000,14400,14000,,,,,,,
14000,36612,517360000,20161205,14100,14600,13850,,,,,,,
14100,61225,866373200,20161128,14500,14650,13950,,,,,,,
14450,86869,1274870200,20161121,15150,15150,14100,,,,,,,
15150,35359,536246550,20161114,15100,15350,14900,,,,,,,
15050,95521,1391570000,20161107,14600,15100,13600,,,,,,,
14800,129918,1867176350,20161031,14650,14800,14300,,,,,,,
14500,186834,2741337600,20161024,15200,15200,14300,,,,,,,
15200,112501,1691147700,20161017,15000,15300,14850,,,,,,,
15000,188365,2748224800,20161010,14300,15100,14200,,,,,,,
14400,60102,879557150,20161004,14950,15350,13950,,,,,,,
14850,128070,1946146700,20160926,15200,15650,14800,,,,,,,
15200,373904,5587076550,20160919,14000,15700,14000,,,,,,,
13950,140955,1976220700,20160912,13750,14650,13650,,,,,,,
13900,224226,3115897950,20160905,13800,14200,13600,,,,,,,
13900,119610,1603875800,20160829,13800,14050,12900,,,,,,,
13800,121996,1705683200,20160822,14450,14450,13500,,,,,,,
14500,195251,2722410250,20160816,12950,14550,12700,,,,,,,
12950,55736,714763050,20160808,12950,13100,12500,,,,,,,
12800,67569,848391200,20160801,12200,12900,12150,,,,,,,
12200,49592,584839850,20160725,11750,12300,11400,,,,,,,
