"['009780', '엠에스씨', '2580', '6840', '10.72', '638', '17.2', '1.70', '8.46', '4024']"
"['010170', '대한광통신', '737295', '+6620', '25.66', '258', '16.9', '4.25', '24.38', '1559']"
"['010240', '흥국', '143765', '-5000', '8.87', '564', '13.3', '1.12', '5.56', '4484']"
"['010280', '쌍용정보통신', '2652376', '+1065', '0.00', '0', '-18.6', '1.62', '', '656']"
"['010470', '오리콤', '13848', '-5000', '13.59', '368', '5.7', '0.79', '2.11', '6326']"
"['011040', '경동제약', '12867', '12150', '13.93', '872', '9.5', '1.46', '7.18', '8339']"
"['011080', '형지I&C', '50854', '+1030', '0.00', '0', '-65.6', '1.51', '', '681']"
"['011320', '유니크', '93319', '+4865', '26.44', '184', '3.8', '1.06', '9.37', '4600']"
"['011370', '서한', '375775', '+2070', '2.70', '768', '31.1', '0.73', '1.54', '2839']"
"['011560', '세보엠이씨', '40431', '-11750', '4.97', '2362', '18.5', '0.89', '3.30', '13143']"
"['012340', '뉴인텍', '97948', '-1000', '0.00', '0', '-21.1', '3.33', '73.75', '300']"
"['012620', '원일특강', '7355', '-10150', '6.21', '1635', '7.2', '0.43', '9.99', '23457']"
"['012700', '리드코프', '11001', '-6110', '4.50', '1358', '12.0', '0.52', '18.14', '11862']"
"['012790', '신일제약', '30722', '+11550', '11.42', '1011', '8.4', '0.97', '6.14', '11851']"
"['012860', '서연전자', '55180', '-1895', '0.00', '0', '-27.1', '0.40', '12.30', '4688']"
"['013030', '하이록코리아', '12953', '-24100', '13.95', '1728', '7.4', '1.00', '4.73', '24092']"
"['013120', '동원개발', '72467', '-4075', '3.68', '1108', '18.3', '0.62', '0.72', '6550']"
"['013310', '아진산업', '179407', '-2630', '4.90', '537', '7.8', '0.37', '5.91', '7050']"
"['013720', '청보산업', '407597', '+4195', '0.00', '0', '-2.8', '1.68', '18.16', '2495']"
"['013810', '스페코', '152241', '-5520', '0.00', '0', '-1.1', '2.03', '26.50', '2725']"
"['013990', '아가방컴퍼니', '219989', '+4980', '0.00', '0', '-2.7', '0.98', '3184.98', '5079']"
"['014100', '보령메디앙스', '148667', '+11800', '22.74', '519', '13.5', '2.95', '18.03', '4004']"
"['014190', '원익큐브', '1333708', '+3250', '57.02', '57', '2.3', '1.48', '31.49', '2202']"
"['014200', '광림', '108671', '+3210', '0.00', '0', '-15.5', '1.66', '', '1930']"
"['014470', '부방', '67841', '+2795', '55.90', '50', '1.3', '0.83', '23.93', '3379']"
"['014570', '고려제약', '383805', '-8020', '18.69', '429', '8.5', '1.55', '13.76', '5179']"
"['014620', '성광벤드', '77922', '+11700', '0.00', '0', '-3.6', '0.74', '', '15747']"
"['014940', '오리엔탈정공', '48457', '-834', '0.00', '0', '-9.4', '2.92', '32.03', '286']"
"['014970', '삼륭물산', '90063', '+5870', '21.58', '272', '5.9', '1.27', '9.71', '4636']"
"['015710', '코콤', '89392', '+7490', '11.59', '646', '10.9', '1.28', '8.48', '5835']"
"['015750', '성우하이텍', '148365', '-4445', '8.72', '510', '3.3', '0.29', '5.19', '15234']"
"['016100', '리더스코스메틱', '93443', '+15750', '0.00', '0', '-6.9', '3.49', '51.83', '4516']"
"['016170', '카카오M', '16740', '-99000', '36.53', '2710', '21.7', '7.38', '17.29', '13421']"
"['016250', '이테크건설', '5622', '-123200', '11.54', '10678', '11.7', '1.33', '5.26', '92905']"
"['016600', '큐캐피탈', '143448', '+888', '10.09', '88', '11.0', '1.05', '', '849']"
"['016670', '포비스티앤씨', '327873', '+1210', '28.81', '42', '3.0', '0.85', '11.49', '1426']"
"['016790', '현대사료', '53718', '+26200', '21.41', '1224', '12.0', '2.46', '36.04', '10645']"
"['016920', '카스', '46884', '-1645', '14.43', '114', '5.4', '0.95', '8.36', '1729']"
"['017000', '신원종합개발', '81757', '-4735', '3.44', '1376', '24.5', '0.75', '3.54', '6330']"
"['017250', '인터엠', '83191', '+2370', '23.01', '103', '2.6', '0.61', '7.11', '3897']"
"['017480', '삼현철강', '95145', '+5790', '14.23', '407', '4.5', '0.65', '3.77', '8934']"
"['017510', '세명전기', '262558', '-9270', '38.46', '241', '5.7', '2.15', '28.40', '4318']"
"['017650', '대림제지', '390857', '+1965', '26.92', '73', '2.9', '0.68', '14.32', '2894']"
"['017680', '데코앤이', '2142711', '+727', '0.00', '0', '-67.3', '2.32', '', '314']"
"['017890', '한국알콜', '74967', '+8170', '8.35', '978', '8.2', '0.70', '6.59', '11716']"
"['018000', '유니슨', '355745', '-2295', '176.54', '13', '3.3', '4.28', '14.63', '536']"
"['018120', '진로발효', '902', '+31000', '14.71', '2108', '18.2', '2.58', '8.54', '12001']"
"['018290', '지엠피', '2296368', '+8990', '0.00', '0', '-48.9', '7.51', '', '1197']"
"['018310', '삼목에스폼', '86720', '15000', '6.28', '2389', '11.5', '0.68', '1.85', '21921']"
"['018620', '우진비앤지', '458300', '+4600', '0.00', '0', '-18.6', '2.76', '', '1667']"
"['018680', '서울제약', '131270', '+10750', '96.85', '111', '1.8', '1.67', '16.34', '6423']"
"['018700', '바른손', '84844', '-2585', '0.00', '0', '-13.3', '0.93', '', '2787']"
"['019010', '그랜드백화점', '2076', '-14100', '0.00', '0', '-0.9', '0.33', '24.05', '43057']"
"['019210', '와이지-원', '167559', '11350', '9.62', '1180', '12.0', '1.13', '7.17', '10074']"
"['019540', '일지테크', '45849', '-3215', '5.20', '618', '6.5', '0.34', '3.89', '9449']"
"['019550', 'SBI인베스트먼트', '823299', '+1055', '62.06', '17', '3.2', '2.01', '', '526']"
"['019570', '제미니투자', '116964', '-642', '42.80', '15', '-7.0', '1.64', '', '392']"
"['019590', '엠벤처투자', '0', '587', '27.95', '21', '7.6', '1.85', '', '318']"
"['019660', '글로본', '30242', '-4825', '0.00', '0', '-31.8', '5.64', '', '855']"
"['019770', '서연탑메탈', '10428', '-2965', '7.49', '396', '6.0', '0.45', '8.72', '6645']"
"['019990', '에너토크', '49814', '-4910', '119.76', '41', '1.0', '1.17', '22.90', '4194']"
"['020180', '대신정보통신', '261015', '-1040', '24.19', '43', '3.6', '1.69', '', '616']"
"['020400', '대동금속', '589', '-49400', '28.33', '1744', '3.1', '0.86', '9.86', '57522']"
"['020710', '시공테크', '23877', '+7350', '7.74', '950', '21.5', '1.54', '5.98', '4762']"
"['021040', '대호피앤씨', '2249547', '+1160', '18.71', '62', '7.3', '1.30', '9.04', '893']"
"['021045', '대호피앤씨우', '161090', '+1615', '0.00', '0', '', '0.00', '', '0']"
"['021080', '에이티넘인베스트', '494156', '+3095', '17.01', '182', '12.9', '2.09', '', '1478']"
"['021320', 'KCC건설', '221991', '-10700', '10.18', '1051', '6.9', '0.68', '2.53', '15806']"
"['021650', '한국큐빅', '6527', '-2695', '42.78', '63', '1.4', '0.79', '6.19', '3400']"
"['021880', '메이슨캐피탈', '200572', '-479', '0.00', '0', '-2.3', '1.12', '', '426']"
"['022100', '포스코 ICT', '239599', '-6640', '24.06', '276', '10.8', '2.53', '11.38', '2629']"
"['022220', '정산애강', '39741', '-2680', '14.57', '184', '16.0', '2.17', '10.38', '1234']"
"['023160', '태광', '39567', '-13350', '0.00', '0', '-3.8', '0.84', '28.19', '15818']"
"['023410', '유진기업', '829130', '+7210', '5.90', '1223', '12.4', '0.77', '8.29', '9411']"
"['023440', '제일제강', '3005496', '-1500', '23.81', '63', '2.8', '0.66', '14.79', '2278']"
"['023460', 'CNH', '369899', '-1350', '16.67', '81', '2.9', '0.49', '', '2752']"
"['023600', '삼보판지', '99308', '-10250', '21.00', '488', '2.7', '0.55', '12.17', '18709']"
"['023760', '한국캐피탈', '96612', '+649', '17.08', '38', '3.1', '0.54', '', '1195']"
"['023770', '플레이위드', '7196', '-7700', '0.00', '0', '-28.9', '2.73', '11.84', '2816']"
"['023790', '동일철강', '1662', '+4385', '0.00', '0', '-9.0', '0.78', '45.83', '5628']"
"['023890', '아트라스BX', '8937', '+49000', '4.38', '11180', '17.6', '1.70', '4.90', '28757']"
"['023900', '풍국주정', '60435', '+10100', '8.99', '1124', '12.6', '1.07', '5.72', '9439']"
"['023910', '대한약품', '9993', '46050', '11.13', '4139', '23.8', '2.38', '7.05', '19313']"
"['024060', '흥구석유', '3276', '-2745', '19.33', '142', '3.0', '0.59', '35.30', '4650']"
"['024120', 'KB오토시스', '31463', '-5770', '5.40', '1068', '15.2', '0.78', '3.60', '7398']"
"['024740', '한일단조', '132755', '-1505', '0.00', '0', '-3.1', '0.37', '19.09', '4110']"
"['024800', '유성티엔에스', '35772', '-3630', '6.64', '547', '7.5', '0.51', '7.69', '7106']"
"['024810', '이화전기', '3624780', '335', '19.71', '17', '6.6', '1.18', '113.79', '283']"
"['024830', '세원물산', '16918', '+6950', '8.96', '776', '3.5', '0.31', '2.38', '22298']"
"['024840', '갑을메탈', '99636', '-2395', '11.74', '204', '9.9', '0.97', '7.48', '2459']"
"['024850', '피에스엠씨', '2733350', '+1500', '0.00', '0', '3.1', '2.98', '18.38', '503']"
"['024880', '케이피에프', '8407', '+4710', '5.16', '912', '9.5', '0.51', '7.17', '9304']"
"['024910', '경창산업', '457340', '-2385', '0.00', '0', '-17.1', '0.27', '7.94', '8754']"
"['024940', 'PN풍년', '23577', '+2790', '18.24', '153', '4.6', '0.87', '7.87', '3215']"
"['024950', '삼천리자전거', '8011', '-6880', '22.48', '306', '3.6', '0.89', '81.99', '7731']"
"['025320', '시노펙스', '519409', '+3045', '0.00', '0', '-34.4', '3.65', '7.60', '835']"
"['025440', '대성엘텍', '3677075', '+1200', '0.00', '0', '-8.5', '2.55', '14.75', '471']"
"['025550', '한국선재', '84244', '-2980', '18.06', '165', '4.7', '0.88', '15.29', '3403']"
"['025770', '한국정보통신', '44559', '10050', '15.58', '645', '15.9', '2.33', '5.30', '4313']"
"['025870', '신라에스지', '17406', '-5690', '96.44', '59', '1.5', '1.43', '19.01', '3985']"
"['025880', '케이씨피드', '104948', '-2430', '5.68', '428', '12.2', '0.70', '10.27', '3492']"
"['025900', '동화기업', '8147', '29150', '9.82', '2967', '7.3', '0.87', '4.98', '33599']"
"['025950', '동신건설', '10947', '-7320', '5.75', '1273', '13.0', '0.71', '1.95', '10373']"
"['025980', '아난티', '820270', '-8290', '259.06', '32', '0.8', '2.06', '29.90', '4017']"
"['026040', '제이에스티나', '90624', '+7630', '0.00', '0', '-4.8', '1.75', '26.76', '4364']"
"['026150', '특수건설', '396557', '-7920', '180.00', '44', '0.7', '1.21', '15.89', '6523']"
"['026180', '현대정보기술', '160052', '1910', '112.35', '17', '2.0', '2.27', '12.21', '843']"
"['026260', '위너지스', '0', '6180', '0.00', '0', '-75.4', '0.93', '', '6620']"
"['026910', '광진실업', '28697', '-3750', '44.12', '85', '1.9', '0.83', '11.90', '4524']"
"['027040', '서울전자통신', '631397', '+1230', '0.00', '0', '-4.2', '2.12', '37.62', '580']"
"['027050', '코리아나', '767746', '+6210', '107.07', '58', '2.3', '3.19', '41.16', '1946']"
"['027580', '상보', '103617', '-2010', '0.00', '0', '-13.9', '1.14', '35.61', '1760']"
"['027710', '팜스토리', '617725', '-1280', '5.82', '220', '9.5', '0.71', '11.85', '1809']"
"['027830', '대성창투', '155102', '+2210', '170.00', '13', '1.1', '1.85', '', '1197']"
"['028040', '미래SCI', '105805', '-5270', '0.00', '0', '-37.0', '5.98', '', '881']"
"['028080', '휴맥스홀딩스', '9058', '-3855', '0.00', '0', '-16.3', '0.29', '', '13118']"
"['028150', 'GS홈쇼핑', '10433', '+202100', '12.12', '16677', '10.1', '1.25', '4.18', '162004']"
"['028300', '에이치엘비', '759866', '+103300', '0.00', '0', '-19.9', '48.66', '', '2123']"
"['029480', '바른테크놀로지', '39862', '+788', '0.00', '0', '-31.0', '1.85', '33.59', '425']"
"['029960', '코엔텍', '340037', '-5770', '17.86', '323', '13.6', '2.30', '8.52', '2511']"
"['030190', 'NICE평가정보', '114991', '-9820', '19.18', '512', '18.8', '3.48', '9.89', '2825']"
"['030270', '에스마크', '16897105', '-186', '0.00', '0', '-207.9', '0.53', '', '351']"
"['030350', '드래곤플라이', '73127', '+4340', '0.00', '0', '-35.8', '3.00', '', '1449']"
"['030520', '한글과컴퓨터', '87109', '-16900', '18.35', '921', '11.7', '2.11', '11.78', '8018']"
"['030530', '원익홀딩스', '112421', '5410', '5.63', '961', '11.4', '0.62', '5.23', '8676']"
"['030960', '양지사', '43388', '+10300', '39.46', '261', '5.6', '2.53', '26.65', '4066']"
"['031310', '아이즈비전', '54695', '-4140', '10.98', '377', '7.8', '0.87', '4.95', '4770']"
"['031330', '에스에이엠티', '181531', '1830', '6.16', '297', '16.3', '0.95', '5.99', '1925']"
"['031390', '녹십자셀', '431491', '-49700', '814.75', '61', '1.6', '12.07', '136.24', '4118']"
"['031510', '오스템', '66774', '-4115', '195.95', '21', '0.4', '0.83', '12.31', '4934']"
"['031860', '엔에스엔', '11466141', '+2750', '0.00', '0', '-59.6', '2.77', '', '992']"
"['031980', '피에스케이', '93746', '+20600', '10.62', '1940', '18.5', '1.83', '4.72', '11230']"
"['032040', 'C&S자산관리', '0', '4375', '0.00', '0', '-117.0', '2.59', '', '1688']"
"['032080', '아즈텍WB', '36439', '+1850', '0.00', '0', '-0.4', '0.44', '', '4193']"
"['032190', '다우데이타', '36118', '-10950', '11.71', '935', '7.9', '0.89', '-6.98', '12347']"
"['032280', '삼일', '113713', '-2405', '18.94', '127', '3.3', '0.64', '10.90', '3746']"
"['032500', '케이엠더블유', '60860', '-26400', '0.00', '0', '-17.9', '8.28', '68.68', '3187']"
"['032540', 'TJ미디어', '17404', '-3630', '30.25', '120', '2.1', '0.62', '10.61', '5814']"
