000995,DB하이텍1우,104,38850,0.00,0,,0.00,,0,,,,44
001020,페이퍼코리아,124517,-1200,0.00,0,-115.2,1.06,,1128,5565,-342,-1030,651
001040,CJ,118136,-134500,8.26,16286,12.1,1.08,4.49,125004,268986,13260,11377,39243
001045,CJ우,1465,-61700,0.00,0,,0.00,,0,,,,1395
001060,JW중외제약,1277235,+43000,0.00,0,-0.3,3.43,25.91,12541,5029,217,-7,8475
001065,JW중외제약우,10565,+29000,0.00,0,,0.00,,0,,,,48
001067,JW중외제약2우B,9916,+46600,0.00,0,,0.00,,0,,,,40
001070,대한방직,25023,+12300,0.00,0,-5.5,0.39,,31785,2086,-99,-96,652
001080,만호제강,14723,-19650,14.48,1357,1.8,0.36,1.59,55125,2142,29,42,815
001120,LG상사,109639,-22250,14.29,1557,4.9,0.72,6.32,30815,128272,2123,882,8624
001130,대한제분,1536,-176000,5.74,30644,7.4,0.42,2.68,420360,8108,362,510,2974
001140,국보,13644,14750,0.00,0,-17.2,1.39,,10597,783,-39,-29,248
001200,유진투자증권,169368,+2740,4.72,580,8.2,0.37,,7309,2407,714,561,2654
001210,금호전기,22221,+7410,0.00,0,-22.4,0.83,17.61,8938,3387,-12,-202,517
001230,동국제강,241338,-8100,165.31,49,0.2,0.34,6.73,23619,60493,2413,48,7730
001250,GS글로벌,603629,-3030,11.79,257,6.2,0.68,10.75,4452,33874,480,225,2501
001260,남광토건,96736,+21850,125.57,174,4.1,4.95,85.31,4411,1156,18,17,2147
001270,부국증권,14309,+22950,6.04,3797,8.0,0.64,,35752,1319,473,376,2380
001275,부국증권우,18,20350,0.00,0,,0.00,,0,,,,611
001290,골든브릿지증권,438182,+3130,0.00,0,-3.3,1.14,,2736,190,-61,-42,1587
001340,백광산업,72011,-2885,17.59,164,5.4,0.99,10.13,2909,1450,95,68,1296
001360,삼성제약,1120670,+3280,0.00,0,-8.6,1.58,,2076,419,-69,-75,1907
001380,SG충방,117998,2485,310.63,8,0.3,0.90,112.65,2760,1433,-18,4,1117
001390,KG케미칼,28398,-27000,71.62,377,1.9,1.37,4.83,19661,10995,762,102,3359
001420,태원물산,56840,+4155,37.10,112,2.5,0.97,17.47,4287,249,3,8,316
001430,세아베스틸,48813,-20050,5.63,3560,7.1,0.39,4.67,51205,30553,1885,1372,7190
001440,대한전선,321413,-1205,0.00,0,-12.6,3.19,19.74,378,15876,547,-488,10320
001450,현대해상,160281,+37650,6.46,5824,15.6,1.08,,34717,128624,6308,4644,33659
001460,BYC,32,-260500,35.14,7414,1.6,0.55,12.64,475434,1958,172,62,1627
001465,BYC우,189,136000,0.00,0,,0.00,,0,,,,293
001470,삼부토건,79854,-5910,0.00,0,-14.5,0.47,,12582,2804,-194,-404,1115
001500,현대차증권,8414,-9690,5.66,1711,6.0,0.34,,28815,2123,668,502,2843
001510,SK증권,2161219,1020,17.00,60,4.4,0.76,,1349,2069,285,188,3265
001515,SK증권우,125985,-3465,0.00,0,,0.00,,0,,,,136
001520,동양,160475,+1915,24.55,78,1.9,0.54,12.86,3555,4831,68,158,4571
001525,동양우,2143,+9840,0.00,0,,0.00,,0,,,,61
001527,동양2우B,716,-10800,0.00,0,,0.00,,0,,,,33
001529,동양3우B,12,-29550,0.00,0,,0.00,,0,,,,27
001530,동일방직,180348,+70100,0.00,0,-1.3,0.34,9.34,204370,8471,220,-41,1667
001550,조비,219837,-34600,149.78,231,2.5,3.76,80.32,9202,599,16,11,1797
001560,제일연마,668,+6310,11.82,534,5.6,0.87,5.88,7264,825,63,40,631
001570,금양,11264,+2275,4.40,517,41.2,1.71,8.47,1333,1804,131,186,982
