538,017940,E1,5320,65800,4.51,14600,7.4,0.38,13.46,171187,44082.0,937.0,868.0,4514
304,005740,크라운해태홀딩스,15934,14750,1.02,14475,58.1,0.79,9.4,18608,10021.0,342.0,1753.0,2190
206,003550,LG,173534,70600,5.18,13630,16.0,0.78,4.84,90990,118411.0,21858.0,24356.0,121825
657,049770,동원F&B,6933,283000,21.26,13313,9.0,1.84,12.5,153682,25526.0,724.0,514.0,10921
123,002000,한국유리,7424,-53900,4.13,13042,21.7,0.81,6.28,66487,3454.0,174.0,1394.0,5433
833,120030,조선선재,3238,90700,6.96,13029,16.6,1.17,1.98,77519,660.0,177.0,154.0,1141
18,000210,대림산업,106603,80400,6.33,12702,10.1,0.61,5.15,131198,123355.0,5459.0,5080.0,27979
544,018670,SK가스,11071,-84100,7.21,11663,7.1,0.51,11.97,165535,66897.0,1254.0,1499.0,7615
259,004800,효성,108396,41400,3.58,11575,9.0,0.34,5.04,123059,125464.0,7708.0,3408.0,5711
693,069960,현대백화점,68148,-99200,8.82,11242,6.6,0.59,4.96,169016,18481.0,3937.0,3023.0,23215
1140,267270,현대건설기계,42614,-122000,10.99,11098,,1.03,10.85,118638,18867.0,952.0,466.0,12049
644,039490,키움증권,62084,89900,8.27,10870,17.4,1.3,,68988,5892.0,3158.0,2416.0,19868
441,010950,S-Oil,311255,123000,11.49,10706,18.8,2.1,9.88,58682,208914.0,13733.0,12465.0,138477
330,006260,LS,112055,-67300,6.3,10691,11.5,0.8,7.29,84524,95151.0,4072.0,3648.0,21671
264,004890,동일산업,5815,67300,6.41,10500,7.0,0.47,-0.35,142147,3791.0,235.0,233.0,1632
670,057050,현대홈쇼핑,8853,112500,10.74,10473,8.2,0.87,4.37,128703,10431.0,1253.0,1225.0,13500
310,005830,DB손해보험,148097,-66100,6.33,10445,15.0,1.01,,65368,135717.0,8679.0,6692.0,46799
712,078930,GS,111184,53600,5.15,10416,13.4,0.66,6.26,81628,162099.0,20712.0,10919.0,49803
536,017810,풀무원,5012,119000,11.51,10339,14.6,1.69,6.1,70316,22381.0,535.0,304.0,4533
308,005810,풍산홀딩스,815,-41100,3.98,10325,10.3,0.48,3.47,85824,3148.0,736.0,677.0,3220
307,005800,신영와코루,84,-142000,14.0,10140,3.0,0.42,5.1,338648,1824.0,60.0,91.0,1278
759,092230,KPX홀딩스,117,64100,6.49,9872,6.8,0.44,-0.08,145038,7533.0,364.0,584.0,2708
425,010060,OCI,216166,109500,11.12,9849,7.2,0.78,5.92,140563,36316.0,2844.0,2326.0,26115
338,006400,삼성SDI,203911,224000,22.8,9824,6.0,1.4,27.07,159945,63216.0,1169.0,6432.0,154033
105,001630,종근당홀딩스,1568,68900,7.06,9766,12.5,0.84,4.36,81622,4507.0,435.0,674.0,3452
9,000100,유한양행,15231,230000,23.59,9751,7.0,1.79,17.32,128815,14622.0,887.0,1096.0,28082
680,066570,LG전자,812975,74700,7.8,9579,13.7,1.02,4.3,73129,613963.0,24685.0,18695.0,122245
532,017390,서울가스,41,-88000,9.41,9350,4.0,0.48,-0.58,182485,13504.0,101.0,366.0,4400
619,033780,KT&G,228447,-104000,11.28,9217,15.7,1.84,7.4,56609,46672.0,14261.0,11642.0,142784
355,007160,사조산업,11128,-58400,6.6,8847,12.2,0.76,8.08,76465,8160.0,591.0,541.0,2920
703,072710,농심홀딩스,2596,-88200,10.06,8765,4.8,0.47,8.17,185858,4966.0,471.0,407.0,4091
695,071050,한국금융지주,154348,-68200,7.81,8731,14.1,1.09,,62616,9172.0,6543.0,4631.0,38005
189,003300,한일홀딩스,8878,81800,9.44,8669,3.8,0.38,3.22,213895,15743.0,1328.0,656.0,2781
198,003490,대한항공,207545,27900,3.23,8639,29.4,0.74,6.14,37824,120922.0,9398.0,8019.0,26462
846,128820,대성산업,82857,-5100,0.6,8533,73.0,0.54,115.68,9513,9003.0,-120.0,2231.0,2307
132,002170,삼양통상,2764,-41000,4.93,8310,9.6,0.45,0.91,90524,1706.0,302.0,249.0,1230
805,105560,KB금융,588998,51600,6.21,8305,10.2,0.63,,81411,113825.0,40153.0,33435.0,215746
348,006840,AK홀딩스,32965,-67200,8.7,7727,15.1,1.27,3.02,52954,33925.0,2656.0,1854.0,8902
463,011780,금호석유,126403,102500,13.4,7647,12.3,1.86,9.74,55019,50648.0,2626.0,2176.0,31229
273,004990,롯데지주,93490,-48400,6.35,7625,11.0,0.59,150.39,81890,23760.0,102.0,4953.0,56418
90,001460,BYC,32,-260500,35.14,7414,1.6,0.55,12.64,475434,1958.0,172.0,62.0,1627
125,002020,코오롱,24543,37250,5.04,7396,14.2,0.64,12.09,58235,43930.0,1068.0,1096.0,4493
445,011070,LG이노텍,779448,-137000,18.55,7386,9.4,1.66,6.72,82426,76414.0,2965.0,1748.0,32424
294,005430,한국공항,5733,-37700,5.15,7316,7.5,0.38,0.67,99734,4854.0,270.0,224.0,1194
213,003650,미창석유,1028,-80000,10.94,7310,5.1,0.56,1.78,142513,3132.0,136.0,125.0,1392
624,034300,신세계건설,3340,-31700,4.37,7256,20.2,0.79,5.48,39918,10644.0,247.0,290.0,1268
647,042660,대우조선해양,292606,-28850,4.04,7141,28.1,0.91,7.21,31816,111018.0,7330.0,6458.0,30929
368,007690,국도화학,4350,58300,8.21,7101,9.2,0.74,5.41,78858,10760.0,565.0,420.0,3388
523,016590,신대양제지,38553,89800,12.77,7032,10.4,1.31,11.29,68314,5128.0,288.0,272.0,3619
267,004960,한신공영,50283,18500,2.7,6860,23.6,0.58,2.05,31749,19843.0,1333.0,725.0,2141
184,003200,일신방직,2261,118500,17.28,6858,2.3,0.41,5.19,286250,4925.0,145.0,170.0,2844
541,018260,삼성에스디에스,114694,232500,33.91,6856,9.9,3.24,14.16,71833,92992.0,7316.0,5418.0,179903
736,086790,하나금융지주,656355,42650,6.26,6817,8.8,0.53,,80654,89324.0,27181.0,21166.0,128053
812,108670,LG하우시스,20881,-66300,9.76,6794,7.1,0.67,6.0,98558,32565.0,1330.0,679.0,5946
108,001720,신영증권,1079,-57800,8.76,6601,6.7,0.88,,65617,2393.0,1166.0,790.0,5425
612,032830,삼성생명,166995,-91500,14.09,6494,4.2,0.62,,146795,166458.0,16906.0,12632.0,183000
